Comment,Description,Footprint,Designator,Quantity,Fitted,Manufacturer 1,Manufacturer Part Number 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1,Supplier Currency 1

"4-Pin Vertical Header","","4-Pin Vertical Header","P101","0","Not Fitted","","","","","","",""
"8 MHz","8MHz ±30ppm 20pF Crystal","CRYSTAL_8MHZ","X100","0","Not Fitted","Fox Electronics","FOXSLF/080-20","Digi-Key","631-1100-ND","","","USD"
"10K TRIM","TRIMMER 10K OHM 0.25W SMD","10K_TRIM_SMD","R123","1","Fitted","Nidec Copal","ST-4ETA-103","Digikey","ST4ETA103CT-ND","1.33","1.33","USD"
"ADS7867","ADC 10BIT 240KSPS SOT23-6","SOT95P280X145-6N","U111","1","Fitted","Texas Instruments","ADS7867IDBVT","Digi-Key","296-18217-1-ND","2.70","2.7","USD"
"AP331A","Single Channel Comparator, Open Drain, SC-74A/SOT-753","SOT95P285X130-5N","U108","1","Fitted","Diodes","AP331AWG-7","Digikey","AP331AWGDICT-ND","0.35","0.35","USD"
"Bourns TVS Diode 3.3V SOD323","TVS DIODE 3.3VWM 10.9VC SOD323","TVS Diode SOD-323","D101, D104, D107, D108, D117","5","Fitted","Bourns","CDSOD323-T03SC","Digi-Key","CDSOD323-T03SCCT-ND","0.65","3.25","USD"
"C006-T022U-00","CAP TANT 1206 22uF 6.3V 2.5ohm 20%","Tantalum-1206","C107","1","Fitted","Nichicon","F930J226MAA","Digi-Key","478-8164-1-ND","0.34","0.34","USD"
"C040-000U1-00","CAP CER 0402 0.1uF 10V X5R 10%","CAPC1005X06N","C100, C101, C102, C105, C109, C110, C111, C112, C113, C114, C115, C118, C123, C124, C127, C128, C129, C131, C133, C135, C136","21","Fitted","","","","","","",""
"C040-0001N-00","CAP CER 0402 1nF 50V X7R 10%","CAPC1005X06N","C125","1","Fitted","","","","","","",""
"C040-0010N-00","CAP CER 0402 10nF 50V X7R 10%","CAPC1005X06N","C106","1","Fitted","","","","","","",""
"C040-0030P-00","CAP CER 0402 30pF 25V NP0 5%","CAPC1005X06N","C120, C121","2","Fitted","","","","","","",""
"C060-0001U-00","CAP CER 0603 1uF 16V X5R 20%","PCB_GENERIC_SMD_0603","C116, C122, C134","3","Fitted","","","","","","",""
