Altium Designer Pick and Place Locations
C:\Users\giesbrecht\AppData\Local\Temp\Releases\Snapshot\3\Assembly MacroFab\Pick Place\Pick Place for Aux-BMS(MacroFab).txt

========================================================================================================================
File Design Information:

Date:       19-10-17
Time:       14:48
Revision:   Not in VersionControl
Variant:    MacroFab
Units used: mil

Designator Comment                        Description                                                                                                                Footprint                            Center-X(mil) Center-Y(mil) Pad-X(mil)  Pad-Y(mil)  Layer    Rotation 
C100       C040-000U1-00                  "CAP CER 0402 0.1uF 10V X5R 10%"                                                                                           CAPC1005X06N                         4749.036mil   4380.905mil   4749.036mil 4361.221mil TopLayer 90       
C101       C040-000U1-00                  "CAP CER 0402 0.1uF 10V X5R 10%"                                                                                           CAPC1005X06N                         3043.307mil   3822.845mil   3062.992mil 3822.845mil TopLayer 180      
C102       C040-000U1-00                  "CAP CER 0402 0.1uF 10V X5R 10%"                                                                                           CAPC1005X06N                         3155.905mil   3822.845mil   3175.590mil 3822.845mil TopLayer 180      
C103       C060-002U2-00                  "CAP CER 0603 2.2uF 16V X5R 20%"                                                                                           PCB_GENERIC_SMD_0603                 3358.838mil   4697.825mil   3358.838mil 4670.266mil TopLayer 90       
C104       C060-002U2-00                  "CAP CER 0603 2.2uF 16V X5R 20%"                                                                                           PCB_GENERIC_SMD_0603                 3165.354mil   3874.035mil   3192.913mil 3874.035mil TopLayer 180      
C105       C040-000U1-00                  "CAP CER 0402 0.1uF 10V X5R 10%"                                                                                           CAPC1005X06N                         3410.030mil   4707.677mil   3410.030mil 4687.992mil TopLayer 90       
C106       C040-0010N-00                  "CAP CER 0402 10nF 50V X7R 10%"                                                                                            CAPC1005X06N                         3611.230mil   4780.512mil   3611.230mil 4800.197mil TopLayer 270      
C107       C006-T022U-00                  "CAP TANT 1206 22uF 6.3V 2.5ohm 20%"                                                                                       Tantalum-1206                        3682.106mil   4759.842mil   3682.106mil 4709.646mil TopLayer 90       
C108       C060-002U2-00                  "CAP CER 0603 2.2uF 16V X5R 20%"                                                                                           PCB_GENERIC_SMD_0603                 4165.797mil   3794.261mil   4165.797mil 3766.702mil TopLayer 90       
C109       C040-000U1-00                  "CAP CER 0402 0.1uF 10V X5R 10%"                                                                                           CAPC1005X06N                         4259.902mil   4106.102mil   4259.902mil 4125.787mil TopLayer 270      
C110       C040-000U1-00                  "CAP CER 0402 0.1uF 10V X5R 10%"                                                                                           CAPC1005X06N                         4214.567mil   4134.842mil   4214.567mil 4115.158mil TopLayer 90       
C111       C040-000U1-00                  "CAP CER 0402 0.1uF 10V X5R 10%"                                                                                           CAPC1005X06N                         4271.654mil   4277.519mil   4251.968mil 4277.519mil TopLayer 360      
C112       C040-000U1-00                  "CAP CER 0402 0.1uF 10V X5R 10%"                                                                                           CAPC1005X06N                         4052.599mil   4568.887mil   4072.284mil 4568.887mil TopLayer 180      
C113       C040-000U1-00                  "CAP CER 0402 0.1uF 10V X5R 10%"                                                                                           CAPC1005X06N                         3613.189mil   4596.457mil   3632.874mil 4596.457mil TopLayer 180      
C114       C040-000U1-00                  "CAP CER 0402 0.1uF 10V X5R 10%"                                                                                           CAPC1005X06N                         3425.197mil   3890.208mil   3405.512mil 3890.208mil TopLayer 360      
C115       C040-000U1-00                  "CAP CER 0402 0.1uF 10V X5R 10%"                                                                                           CAPC1005X06N                         4088.031mil   3832.647mil   4068.346mil 3832.647mil TopLayer 360      
C116       C060-0001U-00                  "CAP CER 0603 1uF 16V X5R 20%"                                                                                             PCB_GENERIC_SMD_0603                 4315.010mil   4430.098mil   4315.010mil 4457.657mil TopLayer 270      
C117       C060-002U2-00                  "CAP CER 0603 2.2uF 16V X5R 20%"                                                                                           PCB_GENERIC_SMD_0603                 3463.613mil   3990.157mil   3463.613mil 3962.598mil TopLayer 90       
C118       C040-000U1-00                  "CAP CER 0402 0.1uF 10V X5R 10%"                                                                                           CAPC1005X06N                         4254.960mil   4420.866mil   4254.960mil 4440.551mil TopLayer 270      
C119       C060-002U2-00                  "CAP CER 0603 2.2uF 16V X5R 20%"                                                                                           PCB_GENERIC_SMD_0603                 3742.205mil   4625.079mil   3769.764mil 4625.079mil TopLayer 180      
C120       C040-0030P-00                  "CAP CER 0402 30pF 25V NP0 5%"                                                                                             CAPC1005X06N                         4417.766mil   4147.618mil   4417.766mil 4167.303mil TopLayer 270      
C121       C040-0030P-00                  "CAP CER 0402 30pF 25V NP0 5%"                                                                                             CAPC1005X06N                         4417.766mil   4228.337mil   4417.766mil 4208.652mil TopLayer 90       
C122       C060-0001U-00                  "CAP CER 0603 1uF 16V X5R 20%"                                                                                             PCB_GENERIC_SMD_0603                 3293.307mil   3489.636mil   3265.748mil 3489.636mil TopLayer 360      
C123       C040-000U1-00                  "CAP CER 0402 0.1uF 10V X5R 10%"                                                                                           CAPC1005X06N                         3301.181mil   3438.445mil   3281.496mil 3438.445mil TopLayer 360      
C124       C040-000U1-00                  "CAP CER 0402 0.1uF 10V X5R 10%"                                                                                           CAPC1005X06N                         4473.435mil   1197.835mil   4473.435mil 1217.520mil TopLayer 270      
C125       C040-0001N-00                  "CAP CER 0402 1nF 50V X7R 10%"                                                                                             CAPC1005X06N                         3380.541mil   3353.937mil   3380.541mil 3334.252mil TopLayer 90       
C126       C060-002U2-00                  "CAP CER 0603 2.2uF 16V X5R 20%"                                                                                           PCB_GENERIC_SMD_0603                 3974.409mil   1109.252mil   4001.968mil 1109.252mil TopLayer 180      
C127       C040-000U1-00                  "CAP CER 0402 0.1uF 10V X5R 10%"                                                                                           CAPC1005X06N                         4132.864mil   1198.819mil   4132.864mil 1218.504mil TopLayer 270      
C128       C040-000U1-00                  "CAP CER 0402 0.1uF 10V X5R 10%"                                                                                           CAPC1005X06N                         3972.441mil   1169.301mil   3992.126mil 1169.301mil TopLayer 180      
C129       C040-000U1-00                  "CAP CER 0402 0.1uF 10V X5R 10%"                                                                                           CAPC1005X06N                         4058.976mil   3449.793mil   4078.661mil 3449.793mil TopLayer 180      
C130       C060-002U2-00                  "CAP CER 0603 2.2uF 16V X5R 20%"                                                                                           PCB_GENERIC_SMD_0603                 3806.083mil   1536.604mil   3778.524mil 1536.604mil TopLayer 360      
C131       C040-000U1-00                  "CAP CER 0402 0.1uF 10V X5R 10%"                                                                                           CAPC1005X06N                         3903.553mil   1479.331mil   3903.553mil 1459.646mil TopLayer 90       
C132       C060-002U2-00                  "CAP CER 0603 2.2uF 16V X5R 20%"                                                                                           PCB_GENERIC_SMD_0603                 3870.492mil   1360.256mil   3870.492mil 1332.697mil TopLayer 90       
C133       C040-000U1-00                  "CAP CER 0402 0.1uF 10V X5R 10%"                                                                                           CAPC1005X06N                         4315.945mil   3572.021mil   4296.260mil 3572.021mil TopLayer 360      
C134       C060-0001U-00                  "CAP CER 0603 1uF 16V X5R 20%"                                                                                             PCB_GENERIC_SMD_0603                 3624.026mil   1438.976mil   3624.026mil 1466.535mil TopLayer 270      
C135       C040-000U1-00                  "CAP CER 0402 0.1uF 10V X5R 10%"                                                                                           CAPC1005X06N                         4227.362mil   3314.118mil   4247.047mil 3314.118mil TopLayer 180      
C136       C040-000U1-00                  "CAP CER 0402 0.1uF 10V X5R 10%"                                                                                           CAPC1005X06N                         4641.732mil   3688.396mil   4622.047mil 3688.396mil TopLayer 360      
D100       TVS_14V_UNI                    "TVS DIODE 14VWM 23.2VC SMF"                                                                                               SODFL370X108-2N                      2961.230mil   3350.403mil   2961.230mil 3290.364mil TopLayer 90       
D101       "Bourns TVS Diode 3.3V SOD323" "TVS DIODE 3.3VWM 10.9VC SOD323"                                                                                           TVS_DIODE_SOD-323                    4793.307mil   4936.427mil   4750.000mil 4936.427mil TopLayer 360      
D102       TVS_14V_UNI                    "TVS DIODE 14VWM 23.2VC SMF"                                                                                               SODFL370X108-2N                      3008.474mil   3490.177mil   2948.435mil 3490.177mil TopLayer 360      
D103       "Bourns TVS Diode 3.3V SOD323" "TVS DIODE 3.3VWM 10.9VC SOD323"                                                                                           TVS_DIODE_SOD-323                    2890.167mil   3763.780mil   2890.167mil 3720.472mil TopLayer 90       
D104       "Bourns TVS Diode 3.3V SOD323" "TVS DIODE 3.3VWM 10.9VC SOD323"                                                                                           TVS_DIODE_SOD-323                    2890.167mil   4130.905mil   2890.167mil 4174.213mil TopLayer 270      
D105       "Bourns TVS Diode 3.3V SOD323" "TVS DIODE 3.3VWM 10.9VC SOD323"                                                                                           TVS_DIODE_SOD-323                    2890.167mil   3622.047mil   2890.167mil 3665.354mil TopLayer 270      
D106       D060-000G2-00                  "LED 0603 GREEN 3.2Vf 20mA"                                                                                                SMD_0603_LED                         3103.179mil   4440.945mil   3071.683mil 4440.945mil TopLayer 360      
D107       "Bourns TVS Diode 3.3V SOD323" "TVS DIODE 3.3VWM 10.9VC SOD323"                                                                                           TVS_DIODE_SOD-323                    2890.167mil   4270.679mil   2890.167mil 4313.986mil TopLayer 270      
D108       "Bourns TVS Diode 3.3V SOD323" "TVS DIODE 3.3VWM 10.9VC SOD323"                                                                                           TVS_DIODE_SOD-323                    2890.167mil   4410.453mil   2890.167mil 4453.760mil TopLayer 270      
D109       D060-000G2-00                  "LED 0603 GREEN 3.2Vf 20mA"                                                                                                SMD_0603_LED                         3103.179mil   4271.644mil   3071.683mil 4271.644mil TopLayer 360      
D110       ONSEMI_MBRM110LT1G             "DIODE SCHOTTKY 10V 1A"                                                                                                    ON_Semi_Schottky_Diode_-_MBRM110LT1G 3516.722mil   4895.679mil   3470.472mil 4895.679mil TopLayer 360      
D111       ONSEMI_MBRM110LT1G             "DIODE SCHOTTKY 10V 1A"                                                                                                    ON_Semi_Schottky_Diode_-_MBRM110LT1G 3296.260mil   4895.669mil   3342.510mil 4895.669mil TopLayer 180      
D112       D060-000G2-00                  "LED 0603 GREEN 3.2Vf 20mA"                                                                                                SMD_0603_LED                         3103.179mil   4102.352mil   3071.683mil 4102.352mil TopLayer 360      
D113       D060-000G2-00                  "LED 0603 GREEN 3.2Vf 20mA"                                                                                                SMD_0603_LED                         4200.787mil   4630.905mil   4200.787mil 4599.409mil TopLayer 90       
D114       D0S4-000CR-00                  "LED 4SMD RGB 2Vf 3Vf 3Vf 20mA 10mA 10mA"                                                                                  CLMVB-FKA                            4428.951mil   4705.718mil   4463.399mil 4683.081mil TopLayer 180      
D115       TVS_14V_UNI                    "TVS DIODE 14VWM 23.2VC SMF"                                                                                               SODFL370X108-2N                      2960.630mil   970.472mil    2960.630mil 1030.512mil TopLayer 270      
D116       TVS_14V_UNI                    "TVS DIODE 14VWM 23.2VC SMF"                                                                                               SODFL370X108-2N                      2960.640mil   1273.622mil   2960.640mil 1213.583mil TopLayer 90       
D117       "Bourns TVS Diode 3.3V SOD323" "TVS DIODE 3.3VWM 10.9VC SOD323"                                                                                           TVS_DIODE_SOD-323                    5376.388mil   3582.677mil   5376.388mil 3539.370mil TopLayer 90       
D118       D060-000R2-00                  "LED 0603 RED 2Vf 20mA"                                                                                                    SMD_0603_LED                         4574.803mil   3760.827mil   4606.299mil 3760.827mil TopLayer 180      
